explainer,corruption,severity,rho_mean,rho_sd,cos_mean,cos_sd,iou_mean,iou_sd,p_shift_mean,p_shift_sd,margin_shift_mean,margin_shift_sd,mmd_mean,mmd_sd,dE_abs_mean,dE_abs_sd,n_seeds
GradCAM,gaussian_noise,3,0.2974082589149475,0.02298177653843371,0.79664466381073,0.007548023010763298,0.40939260721206666,0.013180582354635182,0.10838334709405895,0.010677590511990555,1.865277647972107,0.10845310046177876,0.0504142045974731,0.004010984273700395,0.5116515994071961,0.01930840863458278,5
GradCAM,gaussian_noise,5,0.21933996677398682,0.02322416393824592,0.7732931733131408,0.006083636507453538,0.3807539701461792,0.03402711704114503,0.13917592167854304,0.01676354992624383,2.2388007164001467,0.16611577140683334,0.09756820201873774,0.005199311095121117,0.5759553194046021,0.02494744050377703,5
IG,brightness,1,0.8397515535354614,0.0019019714431698618,0.9512993454933166,0.0011116418214249858,0.6437164068222045,0.0029658993834775892,0.01114474534988398,0.001578589667268756,0.15971182286739344,0.01878721038253176,0.0,0.0,0.028640745207667316,0.0034607154544484837,5
IG,brightness,2,0.6755271315574646,0.0027994309861185244,0.8682999610900879,0.001363243235562176,0.44069567918777464,0.002698798375295445,0.018218151479959442,0.0025111186816098407,0.30012872815132136,0.027549502310009157,0.0,0.0,0.055381215363740875,0.006447246527446838,5
IG,brightness,3,0.5353180766105652,0.0041103015496739255,0.7701887845993042,0.0023086698855975534,0.3035285294055939,0.0028547383032093763,0.02314711399376386,0.0033348481695313027,0.42089582681655885,0.034265825876695626,0.0,0.0,0.08131947517395016,0.007740291682051098,5
IG,brightness,5,0.27941173911094663,0.002613164985346476,0.5409687519073486,0.0016261779862109906,0.11724574416875835,0.0010616176057793338,0.03771122768521306,0.0006397279043131503,0.7654090523719788,0.012945036298938792,0.0001407384872436153,0.00014002615639635934,0.16169541776180263,0.0073311010413059825,5
IG,fog,1,0.8433494210243225,0.0031411449996806796,0.9605546355247497,0.0007454040374929101,0.6896299839019775,0.004089979875341739,0.01732576414942736,0.0021047032984709514,0.27866573333740235,0.02418386219706682,0.0,0.0,0.05238372236490246,0.004576962641212564,5
IG,fog,2,0.6813063740730285,0.0060097957097022345,0.8816838979721069,0.002290641134989997,0.48806161880493165,0.004829835021356381,0.030429753661155662,0.004710372668281388,0.5725157618522644,0.04135482275997941,0.0,0.0,0.11749356240034096,0.010271303143325751,5
IG,fog,3,0.5655332446098328,0.0076526159634035884,0.8046089291572571,0.005349247971898605,0.3730956017971039,0.007278630906351174,0.0406202301383018,0.0036035910462982297,0.7820398926734924,0.05404785328797959,0.00064537525176998,0.00016849138568772066,0.17212091982364652,0.010005643998627831,5
IG,fog,5,0.32349407672882075,0.0030557472160463806,0.5976468086242676,0.0021123552736855193,0.17474249303340908,0.0016289388783104594,0.08541378229856486,0.008646476666765815,1.5631136417388916,0.0935665466637987,0.02136590480804438,0.0015453223027343712,0.3887403726577759,0.019004037703727144,5
IG,gaussian_noise,1,0.4967535972595215,0.005878745591775854,0.7227944970130921,0.004793740345825872,0.2596778750419616,0.0049207159276534055,0.040690703690051976,0.003723734345916131,0.797667407989502,0.0547259254466582,0.00178201198577876,0.0004293757564843536,0.1849837481975555,0.010758700503674322,5
IG,gaussian_noise,2,0.42211737036705016,0.004509015664965084,0.6492601275444031,0.00440110658008417,0.18873704969882962,0.003639358866470257,0.0722269013524055,0.005506575381370296,1.3421225786209106,0.058145008261777015,0.01650438308715814,0.0017347183350240073,0.3495680034160614,0.011989400861740945,5
IG,gaussian_noise,3,0.37523369789123534,0.005989030755733395,0.6038544654846192,0.003949745884012452,0.14968235194683072,0.0028383647686223723,0.10838334709405895,0.010677590511990555,1.865277647972107,0.10845310046177876,0.0504142045974731,0.004010984273700395,0.5116515994071961,0.01930840863458278,5
IG,gaussian_noise,5,0.3363241910934448,0.004883832769628007,0.5732070326805114,0.0014135628163037676,0.12799521088600158,0.0015728850523782137,0.13917592167854304,0.01676354992624383,2.2388007164001467,0.16611577140683334,0.09756820201873774,0.005199311095121117,0.5759553194046021,0.02494744050377703,5
